id,user_id,plan_id,product,plan_name,billing_period,amount_cents,discount_cents,status,quantity,trial_start_date,trial_end_date,current_period_start,current_period_end,cancel_at_period_end,canceled_at,ended_at,created_at,updated_at,stripe_subscription_id,promo_code,payment_method,deleted_at
1,2,17,cloudsync,professional,annual,29990,4342,active,2,,,2025-05-02,2026-05-02,False,,,2025-05-02T12:53:27,2025-05-02T12:53:27,sub_01225890044649458d6ee8f5,PROMO22,bank_transfer,
2,3,16,teamchat,enterprise,annual,149990,0,canceled,15,,,2024-12-17,2025-12-17,True,2025-07-28T12:54:46,2025-08-27T12:54:46,2024-12-17T16:36:03,2024-12-17T16:36:03,sub_e13fab544bd44b95a5545c70,,bank_transfer,
3,4,9,teamchat,enterprise,monthly,14999,0,canceled,13,,,2023-11-26,2023-12-26,True,2024-04-10T12:29:47,2024-05-10T12:29:47,2023-11-26T10:59:17,2023-11-26T10:59:17,sub_e1c7e262396b4d2bb92a20a7,,bank_transfer,
4,5,1,teamchat,starter,monthly,1499,0,active,18,,,2025-05-31,2025-06-30,False,,,2025-05-31T02:00:17,2025-05-31T02:00:17,sub_a4f52e67270e452c884b17f6,,card,
5,6,10,teamchat,starter,monthly,1499,76,active,13,,,2023-03-16,2023-04-15,False,,,2023-03-16T04:37:32,2023-03-16T04:37:32,sub_ff35455466a04e13bac2a3dc,PROMO45,bank_transfer,
6,7,11,teamchat,enterprise,annual,149990,40039,active,19,,,2024-02-19,2025-02-18,False,,,2024-02-19T03:51:19,2024-02-19T03:51:19,sub_5df85f503377476f8d4738cc,PROMO54,bank_transfer,
7,7,18,cloudsync,enterprise,monthly,9999,0,active,20,,,2024-02-14,2024-03-15,False,,,2024-02-14T03:51:19,2024-02-14T03:51:19,sub_774189e329524ad6935e6b9e,,bank_transfer,
8,8,11,cloudsync,starter,annual,9990,1384,canceled,19,,,2024-04-25,2025-04-25,True,2025-05-11T16:06:42,2025-06-10T16:06:42,2024-04-25T16:57:27,2024-04-25T16:57:27,sub_3f7f9e8d564549b38176c7fe,PROMO77,invoice,
9,8,13,teamchat,professional,monthly,4999,784,active,17,,,2024-04-26,2024-05-26,False,,,2024-04-26T16:57:27,2024-04-26T16:57:27,sub_314cb26bf32647558e075c04,PROMO23,card,
10,12,11,teamchat,enterprise,monthly,14999,359,past_due,19,,,2025-04-20,2025-05-20,False,,,2025-04-20T18:34:44,2025-04-20T18:34:44,sub_6b73bbebdd56406bb9adeae6,PROMO11,card,
11,13,14,datahub,enterprise,monthly,19999,0,active,14,,,2025-10-26,2025-11-25,False,,,2025-10-26T04:21:03,2025-10-26T04:21:03,sub_202d25704ae8487abb8cf888,,bank_transfer,
12,15,7,datahub,enterprise,annual,199990,40134,active,5,,,2025-04-15,2026-04-15,False,,,2025-04-15T04:27:48,2025-04-15T04:27:48,sub_6d81d905bcf1437fbfffe2d1,PROMO96,invoice,
13,17,10,cloudsync,enterprise,monthly,9999,2953,canceled,5,,,2024-11-17,2024-12-17,True,2025-03-24T23:06:41,2025-04-23T23:06:41,2024-11-17T08:49:18,2024-11-17T08:49:18,sub_f9e428e1ee814a8b8ff5477b,PROMO92,invoice,
14,18,4,teamchat,starter,monthly,1499,384,trial,2,2024-09-28,2024-10-12,2024-09-28,2024-10-28,False,,,2024-09-28T06:50:49,2024-09-28T06:50:49,sub_0690f8d595d74823b0e784f9,PROMO46,invoice,
15,22,12,teamchat,enterprise,annual,149990,0,active,17,,,2023-10-01,2024-09-30,False,,,2023-10-01T08:12:34,2023-10-01T08:12:34,sub_94d346f588c249cebee6bdd6,,bank_transfer,
16,23,14,cloudsync,professional,monthly,2999,878,active,3,,,2023-05-26,2023-06-25,False,,,2023-05-26T01:43:37,2023-05-26T01:43:37,sub_6f7cae11ee7c44deac698b43,PROMO56,bank_transfer,
17,24,16,cloudsync,starter,annual,9990,0,trial,19,2023-06-21,2023-07-05,2023-06-21,2024-06-20,False,,,2023-06-21T13:51:44,2023-06-21T13:51:44,sub_1c50b22f880a4c6197600956,,card,
18,25,5,cloudsync,starter,annual,9990,0,canceled,17,,,2024-01-24,2025-01-23,True,2025-06-13T13:11:46,2025-07-13T13:11:46,2024-01-24T01:45:55,2024-01-24T01:45:55,sub_2f5f07f6d5674e46bd223ee5,,card,
19,25,14,teamchat,professional,monthly,4999,975,active,1,,,2024-01-27,2024-02-26,False,,,2024-01-27T01:45:55,2024-01-27T01:45:55,sub_87abbb9c6ac041e3ba19dea0,PROMO53,card,
20,27,11,teamchat,professional,monthly,4999,692,canceled,7,,,2025-02-03,2025-03-05,True,2025-11-02T13:30:23,2025-12-02T13:30:23,2025-02-03T10:30:51,2025-02-03T10:30:51,sub_86b0991daca24a81a5ea6307,PROMO52,bank_transfer,
21,28,18,teamchat,professional,annual,49990,561,trial,18,2024-12-18,2025-01-01,2024-12-18,2025-12-18,False,,,2024-12-18T05:21:56,2024-12-18T05:21:56,sub_8d8f569cea2f45cf8d143c1f,PROMO10,card,
22,29,9,teamchat,starter,annual,14990,1184,active,9,,,2025-10-12,2026-10-12,False,,,2025-10-12T23:07:43,2025-10-12T23:07:43,sub_ea1b84b6b1274c90a85d1fe6,PROMO68,card,
23,30,9,datahub,professional,monthly,5999,0,active,20,,,2023-09-12,2023-10-12,False,,,2023-09-12T09:37:54,2023-09-12T09:37:54,sub_2c26bc077f3f4b7ca645ecee,,bank_transfer,
24,31,9,datahub,starter,monthly,1999,0,trial,11,2025-02-28,2025-03-14,2025-02-28,2025-03-30,False,,,2025-02-28T23:35:07,2025-02-28T23:35:07,sub_550a34870c0540c7ac94df6a,,invoice,
25,31,9,cloudsync,enterprise,monthly,9999,369,canceled,7,,,2025-03-01,2025-03-31,True,2025-05-23T17:11:28,2025-06-22T17:11:28,2025-03-01T23:35:07,2025-03-01T23:35:07,sub_719f8944703a4fac8ee69d06,PROMO12,bank_transfer,
26,32,2,datahub,starter,monthly,1999,465,trial,7,2025-07-15,2025-07-29,2025-07-15,2025-08-14,False,,,2025-07-15T09:03:17,2025-07-15T09:03:17,sub_1d83755d3eee48b88029aaee,PROMO49,card,
27,32,17,datahub,enterprise,monthly,19999,0,active,8,,,2025-07-16,2025-08-15,False,,,2025-07-16T09:03:17,2025-07-16T09:03:17,sub_57cd022c2e5b423e9b045cad,,bank_transfer,
28,34,12,teamchat,starter,annual,14990,4236,active,7,,,2025-05-10,2026-05-10,False,,,2025-05-10T18:58:02,2025-05-10T18:58:02,sub_4686e7cecaa74ee6828da8d3,PROMO75,bank_transfer,
29,34,3,teamchat,starter,monthly,1499,415,active,6,,,2025-05-11,2025-06-10,False,,,2025-05-11T18:58:02,2025-05-11T18:58:02,sub_f92c13065afc45fda303ce3d,PROMO39,card,
30,35,16,teamchat,professional,annual,49990,0,canceled,19,,,2025-03-27,2026-03-27,True,2025-05-22T17:41:55,2025-06-21T17:41:55,2025-03-27T23:52:48,2025-03-27T23:52:48,sub_50204934916744a3a1eaa16e,,bank_transfer,
31,35,2,teamchat,starter,monthly,1499,289,canceled,20,,,2025-03-27,2025-04-26,True,2025-07-29T06:41:16,2025-08-28T06:41:16,2025-03-27T23:52:48,2025-03-27T23:52:48,sub_c9de975ff7dd4f78999cc413,PROMO71,bank_transfer,
32,36,13,datahub,starter,monthly,1999,284,active,9,,,2024-03-21,2024-04-20,False,,,2024-03-21T16:56:18,2024-03-21T16:56:18,sub_41af4c8f80234c81aa5d2a06,PROMO83,invoice,
33,40,4,cloudsync,starter,annual,9990,0,canceled,4,,,2023-05-22,2024-05-21,True,2024-05-19T06:50:57,2024-06-18T06:50:57,2023-05-22T20:54:47,2023-05-22T20:54:47,sub_9181e197ce5747af9c559fab,,bank_transfer,
34,41,18,cloudsync,professional,annual,29990,0,active,13,,,2024-06-02,2025-06-02,False,,,2024-06-02T07:58:18,2024-06-02T07:58:18,sub_85ef6f5afd0f4f0293847bef,,invoice,
35,42,5,cloudsync,starter,monthly,999,0,active,3,,,2025-02-18,2025-03-20,False,,,2025-02-18T09:10:11,2025-02-18T09:10:11,sub_d386dff5888744d3a5678a44,,bank_transfer,
36,43,16,datahub,enterprise,monthly,19999,0,active,8,,,2023-06-26,2023-07-26,False,,,2023-06-26T06:08:13,2023-06-26T06:08:13,sub_05c1b54181bd4dfab2e77c9c,,card,
37,44,15,cloudsync,starter,annual,9990,0,active,6,,,2025-03-02,2026-03-02,False,,,2025-03-02T17:49:57,2025-03-02T17:49:57,sub_a212eae073644923bd9e156a,,card,
38,44,16,cloudsync,starter,monthly,999,196,canceled,5,,,2025-03-05,2025-04-04,True,2025-10-05T06:54:51,2025-11-04T06:54:51,2025-03-05T17:49:57,2025-03-05T17:49:57,sub_6626b70bafc54fa28f0c2354,PROMO33,card,
39,46,6,datahub,professional,annual,59990,0,trial,18,2024-02-17,2024-03-02,2024-02-17,2025-02-16,False,,,2024-02-17T16:45:55,2024-02-17T16:45:55,sub_4f0bc90ff3d2485b8209a87f,,card,
40,47,5,teamchat,professional,monthly,4999,439,canceled,6,,,2023-03-19,2023-04-18,True,2024-04-02T21:00:25,2024-05-02T21:00:25,2023-03-19T10:40:03,2023-03-19T10:40:03,sub_d37a4beecce9473e8950baa2,PROMO56,card,
41,49,10,cloudsync,starter,annual,9990,0,canceled,15,,,2024-08-16,2025-08-16,True,2024-09-28T15:31:24,2024-10-28T15:31:24,2024-08-16T10:17:29,2024-08-16T10:17:29,sub_a0582877cb7d4f16aef21628,,invoice,
42,50,3,cloudsync,starter,monthly,999,140,active,15,,,2025-10-27,2025-11-26,False,,,2025-10-27T00:04:08,2025-10-27T00:04:08,sub_634a5beb59d445fa86da27b0,PROMO87,invoice,
43,51,18,datahub,starter,annual,19990,0,trial,12,2024-02-09,2024-02-23,2024-02-09,2025-02-08,False,,,2024-02-09T04:32:20,2024-02-09T04:32:20,sub_fae2c21d414a4b79b10ef01d,,card,
44,52,3,cloudsync,enterprise,monthly,9999,0,trial,6,2025-11-15,2025-11-29,2025-11-15,2025-12-15,False,,,2025-11-15T10:40:54,2025-11-15T10:40:54,sub_b41fb4c0c5744970bd92af4d,,invoice,
45,53,5,datahub,professional,annual,59990,12138,active,7,,,2023-07-04,2024-07-03,False,,,2023-07-04T09:17:07,2023-07-04T09:17:07,sub_17e42e54c10d4899b4247459,PROMO69,invoice,
46,54,18,datahub,enterprise,annual,199990,0,active,3,,,2023-12-08,2024-12-07,False,,,2023-12-08T12:24:03,2023-12-08T12:24:03,sub_04d4d87dc405491ebd75df86,,bank_transfer,
47,54,10,cloudsync,enterprise,monthly,9999,0,canceled,2,,,2023-12-11,2024-01-10,True,2024-04-20T23:30:40,2024-05-20T23:30:40,2023-12-11T12:24:03,2023-12-11T12:24:03,sub_15d4b05db38e4258a5a98e0a,,card,
48,55,9,datahub,starter,annual,19990,5874,trial,18,2025-05-29,2025-06-12,2025-05-29,2026-05-29,False,,,2025-05-29T00:59:33,2025-05-29T00:59:33,sub_2ee5661d30d14ca0bbfdf1d5,PROMO44,bank_transfer,
49,55,11,teamchat,professional,annual,49990,0,active,9,,,2025-05-27,2026-05-27,False,,,2025-05-27T00:59:33,2025-05-27T00:59:33,sub_e0ebf832c1104b119886f368,,invoice,
